Name,Path to File,Sub-Theme Name,Variable Name,Description,Time Period,Climate Model,RCP,Crop,Water Supply,Input Level,Data  Units,Recommended Renderer,Download URL,File Identifier
alfa200a_wde,\res02\CRUTS32\Hist\8110H\alfa200a_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Alfalfa with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Alfalfa,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/alfa200a_wde.tif,000271704
alfa200b_wde,\res02\CRUTS32\Hist\8110H\alfa200b_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Alfalfa with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Alfalfa,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/alfa200b_wde.tif,000274031
bana200a_wde,\res02\CRUTS32\Hist\8110H\bana200a_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Banana with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Banana,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/bana200a_wde.tif,000276403
bana200b_wde,\res02\CRUTS32\Hist\8110H\bana200b_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Banana with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Banana,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/bana200b_wde.tif,000275544
barl200a_wde,\res02\CRUTS32\Hist\8110H\barl200a_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Barley with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Barley,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/barl200a_wde.tif,000274485
barl200b_wde,\res02\CRUTS32\Hist\8110H\barl200b_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Barley with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Barley,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/barl200b_wde.tif,000275686
bckw200a_wde,\res02\CRUTS32\Hist\8110H\bckw200a_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Buckwheat with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Buckwheat,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/bckw200a_wde.tif,000273573
bckw200b_wde,\res02\CRUTS32\Hist\8110H\bckw200b_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Buckwheat with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Buckwheat,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/bckw200b_wde.tif,000272659
bean200a_wde,\res02\CRUTS32\Hist\8110H\bean200a_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Phaseolus bean with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Phaseolus bean,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/bean200a_wde.tif,000272974
bean200b_wde,\res02\CRUTS32\Hist\8110H\bean200b_wde.tif,Growth Cycle Attributes,Crop water deficit (mm),Crop water deficit (mm) for the time period 1981-2010 for Phaseolus bean with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Phaseolus bean,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110H/bean200b_wde.tif,000275945
