Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1251,Carrots and turnips,2023,2023,ha,425,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1213,Cauliflowers and broccoli,2023,2023,ha,355,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1344.02,Cherries,2023,2023,ha,2315,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1373,"Chestnuts, in shell",2023,2023,ha,2429,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,2023,ha,3179,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1232,Cucumbers and gherkins,2023,2023,ha,2725,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1314,Dates,2023,2023,ha,490,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1233,Eggplants (aubergines),2023,2023,ha,1157,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1315,Figs,2023,2023,ha,1518,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2023,2023,ha,9822,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1252,Green garlic,2023,2023,ha,1062,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1659,Hop cones,2023,2023,ha,2443,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1254,Leeks and other alliaceous vegetables,2023,2023,ha,1743,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1322,Lemons and limes,2023,2023,ha,89,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1214,Lettuce and chicory,2023,2023,ha,1698,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2023,2023,ha,55570,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,117,Oats,2023,2023,ha,14927,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1239.01,Okra,2023,2023,ha,717,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1450,Olives,2023,2023,ha,50404,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,2023,ha,5357,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1253.01,"Onions and shallots, green",2023,2023,ha,2179,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1323,Oranges,2023,2023,ha,246,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1241.9,"Other beans, green",2023,2023,ha,1044,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1329,"Other citrus fruit, n.e.c.",2023,2023,ha,0,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1359.9,"Other fruits, n.e.c.",2023,2023,ha,150,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1379.9,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2023,2023,ha,1411,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1709.9,Other pulses n.e.c.,2023,2023,ha,1146,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2023,2023,ha,396,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1290.9,"Other vegetables, fresh n.e.c.",2023,2023,ha,1573,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1345,Peaches and nectarines,2023,2023,ha,1318,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1342.01,Pears,2023,2023,ha,811,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1242,"Peas, green",2023,2023,ha,547,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1346,Plums and sloes,2023,2023,ha,2681,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1510,Potatoes,2023,2023,ha,10068,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1235,"Pumpkins, squash and gourds",2023,2023,ha,798,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1342.02,Quinces,2023,2023,ha,91,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,113,Rice,2023,2023,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,116,Rye,2023,2023,ha,1277,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1921.01,"Seed cotton, unginned",2023,2023,ha,725,E,Estimated value,
